4
1	14	0.5	0
2	12	0.5	0
3	131	1.0	16
4	500	1.0	46
9
0	5	405	405	0	11	1
1	16	405	405	0	3	2
2	49	405	405	0	20	0
3	54	405	405	0	18	0
4	8	405	405	0	22	0
5	63	405	405	0	15	0
6	91	405	405	0	22	0
7	11	405	405	0	15	0
8	68	405	405	0	18	0
9	40	405	405	0	18	0
100
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	1
0	6	1
0	7	0
0	8	0
0	9	0
1	0	0
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
2	0	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	0
2	8	1
2	9	0
3	0	0
3	1	0
3	2	0
3	3	0
3	4	1
3	5	0
3	6	0
3	7	1
3	8	0
3	9	1
4	0	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	1
4	6	0
4	7	0
4	8	1
4	9	0
5	0	0
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
6	0	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	0
6	9	1
7	0	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
8	0	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	1
9	0	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
16
1	1	0
1	2	1000
1	3	2
1	4	6
2	1	1000
2	2	0
2	3	2
2	4	6
3	1	2
3	2	2
3	3	0
3	4	4
4	1	6
4	2	6
4	3	4
4	4	0
