4
1	14	0.5	0
2	15	0.5	0
3	140	1.0	19
4	589	1.0	42
9
0	13	533	533	0	11	1
1	34	533	533	0	8	2
2	70	533	533	0	22	0
3	50	533	533	0	18	0
4	47	533	533	0	22	0
5	76	533	533	0	22	0
6	61	533	533	0	15	0
7	58	533	533	0	22	0
8	80	533	533	0	15	0
9	44	533	533	0	20	0
100
0	0	0
0	1	0
0	2	1
0	3	1
0	4	0
0	5	0
0	6	1
0	7	0
0	8	0
0	9	0
1	0	0
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
2	0	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	1
2	6	0
2	7	0
2	8	0
2	9	0
3	0	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	1
3	6	0
3	7	0
3	8	1
3	9	0
4	0	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	0
4	8	1
4	9	1
5	0	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	1
5	8	0
5	9	0
6	0	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	0
6	9	0
7	0	0
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
8	0	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	0
9	0	0
9	1	0
9	2	0
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
16
1	1	0
1	2	1000
1	3	2
1	4	6
2	1	1000
2	2	0
2	3	2
2	4	6
3	1	2
3	2	2
3	3	0
3	4	4
4	1	6
4	2	6
4	3	4
4	4	0
