# =========================
# DIMENSIONES
# =========================

param S := 20;
param P := 6;

param alpha := 1;
param beta  := 0;
param gamma := 1;
param BigM  := 5000;

# =========================
# SERVIDORES (MEM, CPU, COST)
# =========================

param : M   U  COST :=
1    12   0.5   0
2    15   0.5   0
3    14   0.5   0
4    13   0.5   0
5    263  1.0   15
6    1113 1.0   45
;

# =========================
# TAREAS
# id  C   T   D   ac  Mem
# =========================

param : 
C   T   D   ac  MemTask :=
0    9    761  761  0    11
1    6    761  761  0    11
2    7    761  761  0    7
3    33   761  761  0    4
4    17   761  761  0    18
5    80   761  761  0    22
6    7    761  761  0    20
7    83   761  761  0    18
8    55   761  761  0    18
9    20   761  761  0    15
10   23   761  761  0    15
11   55   761  761  0    20
12   36   761  761  0    20
13   20   761  761  0    22
14   34   761  761  0    18
15   94   761  761  0    22
16   38   761  761  0    18
17   48   761  761  0    20
18   67   761  761  0    22
19   29   761  761  0    15
;

# =========================
# SERVIDORES FIJOS
# =========================
# 0 = libre

param ServidorFijo :=
0    1
1    2
2    3
3    4
;

# =========================
# PRECEDENCIAS (DAG)
# τ_h ≺ τ_i
# =========================

set PRECEDENCES :=
(0,8)
(0,9)
(0,13)
(0,15)
(0,16)
(0,17)
(0,18)
(1,4)
(1,5)
(1,8)
(1,10)
(1,12)
(1,13)
(1,17)
(2,5)
(2,7)
(2,8)
(2,9)
(2,10)
(2,12)
(2,13)
(2,14)
(2,15)
(2,16)
(4,5)
(4,7)
(4,12)
(4,14)
(5,7)
(5,8)
(5,14)
(6,12)
(6,16)
(7,13)
(7,14)
(7,18)
(8,13)
(8,15)
(8,16)
(9,10)
(9,12)
(10,15)
(10,19)
(11,14)
(12,16)
(12,19)
(13,3)
(13,14)
(13,16)
(14,18)
(14,19)
(15,17)
(15,18)
(15,19)
(17,19)
(18,19)
;

# =========================
# DELAYS DE COMUNICACIÓN
# =========================

param Delta :=
[1,1]   0    [1,2]   1000 [1,3]   1000 [1,4]   1000 [1,5]   2    [1,6]   6   

[2,1]   1000 [2,2]   0    [2,3]   1000 [2,4]   1000 [2,5]   2    [2,6]   6   

[3,1]   1000 [3,2]   1000 [3,3]   0    [3,4]   1000 [3,5]   2    [3,6]   6   

[4,1]   1000 [4,2]   1000 [4,3]   1000 [4,4]   0    [4,5]   2    [4,6]   6   

[5,1]   2    [5,2]   2    [5,3]   2    [5,4]   2    [5,5]   0    [5,6]   4   

[6,1]   6    [6,2]   6    [6,3]   6    [6,4]   6    [6,5]   4    [6,6]   0   
;
